u_id_c,i_id_c,c_time_i,click,favorite,buy
41444,113889,905,0.662898063659668,0.1544874906539917,3.973036527633667
41444,236250,905,-1.8876023292541504,-12.46619701385498,-3.11401629447937
41444,218290,905,-11.621434211730955,-1.211490511894226,-4.767873287200928
41444,142042,905,-4.803229808807373,-8.189319610595703,-3.262120723724365
41444,118866,905,-2.373444080352783,-8.602533340454102,2.0313072204589844
41444,141062,905,-5.7406535148620605,-8.001055717468262,-4.8495378494262695
41444,241227,905,-8.028279304504395,-11.500532150268556,-2.455742835998535
41444,257066,905,-13.13979434967041,-8.120038032531738,-2.150536298751831
41444,197709,905,-6.480648040771484,-8.722206115722656,-2.642024517059326
41444,216813,905,-8.458438873291016,-7.769556999206543,-2.993142604827881
41444,23695,905,-12.177764892578123,-10.29400634765625,2.0931429862976074
41444,156640,905,1.4329774379730225,-2.975684642791748,2.2792673110961914
41444,9806,905,-6.397852897644043,-8.917438507080078,-4.52162504196167
41444,177957,905,-14.336339950561523,-13.702178001403809,-3.346972703933716
41444,239776,905,-7.124142169952393,-5.709965705871582,-3.140622138977051
41444,103479,905,5.544680595397949,-6.409809589385986,2.432610988616944
41444,160472,905,0.2776180505752563,-7.825273036956787,-2.299756526947021
41444,85776,905,2.1581358909606934,-8.245369911193848,-2.8192427158355717
41444,253642,905,-8.672203063964844,-9.27199363708496,-4.820971965789795
41444,211785,905,1.5097379684448242,-6.079072952270508,-3.68431568145752
41444,95717,905,-9.508726119995115,-9.424164772033691,-2.9947218894958496
41444,118005,905,-6.179303169250488,-12.106722831726074,-3.8419559001922607
41444,69041,905,1.3594167232513428,-4.50526237487793,-3.969706058502197
41444,235393,905,-9.955429077148438,-9.044228553771973,-4.027149677276611
41444,19983,905,-2.7673957347869877,-4.387299060821533,-0.8425925374031067
41444,81735,905,-12.324161529541016,-10.19038200378418,-2.729855537414551
41444,5529,905,-1.7950619459152222,-9.792387962341309,2.789391040802002
41444,251591,905,-8.647672653198242,-10.314164161682127,1.011218547821045
41444,243903,905,-12.03514289855957,-10.293524742126465,-4.237895965576172
41444,151159,905,-16.13931655883789,-11.169594764709473,3.4869182109832764
41444,135042,905,-5.05822229385376,-9.345151901245115,-1.9751052856445312
41444,194608,905,-3.1947412490844727,0.7396925687789917,3.4365854263305664
41444,183683,905,-6.445096015930176,-11.244685173034668,-4.174982070922852
238735,133663,901,1.7597501277923584,-13.082403182983398,-3.084961414337158
238735,140331,901,-4.563731670379639,-1.1442939043045044,-3.2608211040496826
238735,30014,901,-9.60651683807373,-6.268621921539307,-2.2569713592529297
238735,120453,901,-8.31706714630127,-10.728291511535645,-4.367787837982178
238735,124288,901,-13.22349739074707,-1.8243107795715328,-4.034327030181885
238735,29877,901,-8.739810943603516,-7.999214172363281,-3.3328397274017334
238735,218057,901,-16.042654037475586,-9.27940845489502,-3.7721333503723145
238735,60049,901,-5.19793701171875,-8.48933219909668,-4.856781482696533
238735,125774,901,-8.966469764709473,-6.023000240325928,-2.870893716812134
238735,163677,901,1.2706348896026611,-8.1716890335083,-3.640038251876831
238735,170105,901,-6.85674524307251,-2.375462293624878,-3.098105907440185
238735,165597,901,6.503612518310547,-7.986870765686035,-2.5210936069488525
238735,113391,901,-11.598909378051758,-9.675603866577148,-1.754288673400879
238735,262939,901,-8.521964073181152,-10.5621919631958,-4.742300987243652
238735,10708,901,-14.025110244750977,-10.107166290283203,-3.265857696533203
238735,85047,901,-7.104522705078125,-2.097565174102783,-3.390829563140869
238735,40524,901,-12.87912368774414,-9.155035018920898,-3.1589794158935547
238735,98689,901,-1.2825490236282349,-11.186591148376465,2.502898693084717
238735,96338,901,-15.510009765625,-12.71481704711914,-3.130420207977295
238735,240026,901,-16.722326278686523,-8.995361328125,-4.490012168884277
238735,218128,901,-6.320046424865723,-11.485559463500977,-3.9780988693237305
238735,116902,901,1.7306194305419922,-12.006107330322266,-3.883105993270874
206635,88287,906,19.01692771911621,0.1583228260278701,1.6915862560272217
206635,172338,906,-11.737667083740234,-7.431074142456055,-4.020675182342529
206635,80116,906,-4.629179000854492,-0.1437025666236877,-3.297447681427002
206635,33754,906,-6.744091033935547,-7.652198314666748,-3.88595986366272
206635,150555,906,-14.36408805847168,-8.00865650177002,-2.9852101802825928
206635,172666,906,-9.626330375671388,-6.688419818878174,-1.941706895828247
206635,143070,906,-10.00931167602539,-8.214069366455078,-3.1507437229156494
206635,223512,906,-8.60494327545166,-8.698363304138184,-2.251307964324951
206635,95099,906,-5.095207691192627,-7.809010028839111,-3.245954990386963
206635,249210,906,-5.015130043029785,-6.568151473999023,2.5735559463500977
206635,200814,906,-4.421751976013184,-7.158263683319092,2.254451274871826
138131,187208,907,3.265308380126953,-6.283018112182617,-2.0406789779663086
138131,260950,907,-1.2573134899139404,-1.2382862567901611,-5.471688270568848
138131,103787,907,-6.455440521240234,-8.165937423706055,-2.837065458297729
138131,159592,907,-11.465822219848633,-7.221043586730957,-2.174036026000977
138131,213179,907,-15.033148765563965,-6.363815307617188,-1.643911600112915
138131,96959,907,1.826757550239563,-6.433314323425293,3.042729377746582
138131,51989,907,-2.4130663871765137,-6.929548263549805,-4.756057262420654
138131,100350,907,-9.385211944580078,-9.4361572265625,-3.632020950317383
138131,27438,907,-14.450108528137209,-4.364585876464844,-4.081408977508545
138131,39128,907,-0.9211231470108032,-7.722686290740967,-4.656236171722412
138131,132983,907,-13.87332534790039,-9.86996078491211,-5.408441543579102
184307,110204,901,9.59642505645752,1.055043339729309,2.8276166915893555
